Cement (kg/m3),Water (kg/m3),Sand (kg/m3),Superplasticizer (kg/m3),OPS (kg/m3),OPBC (kg/m3),Curing_FW,Curing_AC,Curing_2W,Curing_5W,Curing_7W,Curing_2T2D,Curing_2T6D,Curing_PS,Age (Days),Compressive Strength (MPa)
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,1,22.14
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,1,22.15
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,3,29.57
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,3,30.88
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,3,31.63
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,7,35.1
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,7,34.01
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,7,34.86
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,28,36.1
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,28,35.91
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,28,36.03
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,56,38.21
480,173,890,4.8,360,0,1,0,0,0,0,0,0,0,56,38.73
480,173,890,4.8,360,0,0,1,0,0,0,0,0,0,28,26.65
480,173,890,4.8,360,0,0,1,0,0,0,0,0,0,28,26.85
480,173,890,4.8,360,0,0,1,0,0,0,0,0,0,28,27.19
480,173,890,4.8,360,0,0,1,0,0,0,0,0,0,28,27.31
480,173,890,4.8,360,0,0,0,1,0,0,0,0,0,28,29.41
480,173,890,4.8,360,0,0,0,1,0,0,0,0,0,28,28.96
480,173,890,4.8,360,0,0,0,1,0,0,0,0,0,28,28.22
480,173,890,4.8,360,0,0,0,1,0,0,0,0,0,28,31.73
480,173,890,4.8,360,0,0,0,0,1,0,0,0,0,28,31.71
480,173,890,4.8,360,0,0,0,0,1,0,0,0,0,28,31.89
480,173,890,4.8,360,0,0,0,0,1,0,0,0,0,28,29.7
480,173,890,4.8,360,0,0,0,0,1,0,0,0,0,28,30.81
480,173,890,4.8,360,0,0,0,0,0,1,0,0,0,28,32.06
480,173,890,4.8,360,0,0,0,0,0,1,0,0,0,28,32.28
480,173,890,4.8,360,0,0,0,0,0,1,0,0,0,28,32
480,173,890,4.8,360,0,0,0,0,0,1,0,0,0,28,31.98
480,173,890,4.8,360,0,0,0,0,0,0,1,0,0,28,30.71
480,173,890,4.8,360,0,0,0,0,0,0,1,0,0,28,31.77
480,173,890,4.8,360,0,0,0,0,0,0,1,0,0,28,30.93
480,173,890,4.8,360,0,0,0,0,0,0,1,0,0,28,29.93
